"","country","points","price","province","taster_name","variety"
"13","US",83,25,"New Jersey","Alexander Peartree","Chardonnay"
"14","US",84,18,"Virginia","Alexander Peartree","Chardonnay"
"16","US",84,32,"Michigan","Alexander Peartree","Chardonnay"
"20","US",91,20,"Virginia","Alexander Peartree","Merlot"
"26","US",85,15,"Michigan","Alexander Peartree","Chardonnay"
"31","US",86,14,"Virginia","Alexander Peartree","Rose"
"32","US",86,22,"Virginia","Alexander Peartree","Rose"
"33","US",86,15,"Virginia","Alexander Peartree","Chardonnay"
"34","US",85,15,"Virginia","Alexander Peartree","Chardonnay"
"38","US",85,18,"America","Alexander Peartree","Chardonnay"
"42","US",86,29,"Colorado","Alexander Peartree","Chardonnay"
"45","US",88,35,"Colorado","Alexander Peartree","Chardonnay"
"52","US",85,25,"Michigan","Alexander Peartree","Pinot Noir"
"53","US",85,25,"Michigan","Alexander Peartree","Chardonnay"
"62","US",85,32,"Virginia","Alexander Peartree","Merlot"
"64","US",84,22,"Virginia","Alexander Peartree","Chardonnay"
"73","US",87,24,"Virginia","Alexander Peartree","Rose"
"74","US",87,22,"Virginia","Alexander Peartree","Merlot"
"83","US",86,22,"Michigan","Alexander Peartree","Chardonnay"
"86","US",88,28,"Colorado","Alexander Peartree","Syrah"
"87","US",86,32,"Virginia","Alexander Peartree","Chardonnay"
"90","US",86,25,"Virginia","Alexander Peartree","Chardonnay"
"95","US",91,28,"Michigan","Alexander Peartree","Chardonnay"
"98","US",83,50,"Michigan","Alexander Peartree","Syrah"
"99","US",82,49,"Michigan","Alexander Peartree","Chardonnay"
"100","US",82,48,"Michigan","Alexander Peartree","Merlot"
"101","US",87,13,"Texas","Alexander Peartree","Rose"
"110","US",85,45,"Michigan","Alexander Peartree","Pinot Noir"
"116","US",91,28,"Michigan","Alexander Peartree","Chardonnay"
"118","US",87,28,"Virginia","Alexander Peartree","Chardonnay"
"122","US",88,30,"Virginia","Alexander Peartree","Chardonnay"
"123","US",88,22,"Virginia","Alexander Peartree","Chardonnay"
"124","US",87,29,"Michigan","Alexander Peartree","Pinot Noir"
"127","US",84,23,"Virginia","Alexander Peartree","Rose"
"131","US",84,27,"Virginia","Alexander Peartree","Merlot"
"134","US",84,30,"Texas","Alexander Peartree","Rose"
"138","US",84,11,"Texas","Alexander Peartree","Rose"
"140","US",85,23,"Virginia","Alexander Peartree","Chardonnay"
"141","US",85,16,"Virginia","Alexander Peartree","Chardonnay"
"150","US",89,60,"Michigan","Alexander Peartree","Pinot Noir"
"151","US",88,38,"Virginia","Alexander Peartree","Chardonnay"
"167","US",85,25,"Michigan","Alexander Peartree","Rose"
"182","US",86,59,"Michigan","Alexander Peartree","Pinot Noir"
"183","US",86,59,"Michigan","Alexander Peartree","Pinot Noir"
"189","US",87,35,"Colorado","Alexander Peartree","Syrah"
"192","US",87,25,"Virginia","Alexander Peartree","Chardonnay"
"196","US",87,18,"Michigan","Alexander Peartree","Chardonnay"
"199","US",87,50,"Michigan","Alexander Peartree","Merlot"
"200","US",87,25,"Michigan","Alexander Peartree","Pinot Noir"
"201","US",87,20,"Virginia","Alexander Peartree","Chardonnay"
"204","US",84,30,"Virginia","Alexander Peartree","Chardonnay"
"207","US",83,19,"Virginia","Alexander Peartree","Chardonnay"
"208","US",85,19,"Virginia","Alexander Peartree","Syrah"
"211","US",85,28,"Virginia","Alexander Peartree","Merlot"
"216","US",88,25,"Virginia","Alexander Peartree","Rose"
"221","US",87,20,"Texas","Alexander Peartree","Rose"
"247","US",84,18,"Virginia","Alexander Peartree","Merlot"
"251","US",84,34,"Virginia","Alexander Peartree","Merlot"
"255","US",81,22,"Texas","Alexander Peartree","Rose"
"257","US",82,20,"Texas","Alexander Peartree","Chardonnay"
"273","US",88,30,"Virginia","Alexander Peartree","Chardonnay"
"277","US",86,20,"Texas","Alexander Peartree","Rose"
"279","US",86,25,"Virginia","Alexander Peartree","Chardonnay"
"285","US",90,30,"Michigan","Alexander Peartree","Pinot Noir"
"287","US",89,38,"Virginia","Alexander Peartree","Chardonnay"
"299","US",84,25,"Virginia","Alexander Peartree","Chardonnay"
"307","US",86,18,"Virginia","Alexander Peartree","Rose"
"308","US",86,20,"Virginia","Alexander Peartree","Chardonnay"
"312","US",85,29,"Colorado","Alexander Peartree","Chardonnay"
"318","US",85,18,"Virginia","Alexander Peartree","Rose"
"319","US",85,20,"Virginia","Alexander Peartree","Chardonnay"
"321","US",84,20,"Virginia","Alexander Peartree","Chardonnay"
"322","US",88,26,"Virginia","Alexander Peartree","Chardonnay"
"326","US",85,19,"Virginia","Alexander Peartree","Syrah"
"330","US",88,22,"Virginia","Alexander Peartree","Rose"
"334","US",88,32,"Michigan","Alexander Peartree","Pinot Noir"
"339","US",86,23,"Virginia","Alexander Peartree","Merlot"
"341","US",86,33,"Colorado","Alexander Peartree","Syrah"
"345","US",83,32,"Nevada","Alexander Peartree","Syrah"
"346","US",83,24,"Texas","Alexander Peartree","Syrah"
"348","US",88,32,"Michigan","Alexander Peartree","Pinot Noir"
"350","US",86,24,"Virginia","Alexander Peartree","Chardonnay"
"358","US",87,29,"Michigan","Alexander Peartree","Pinot Noir"
"360","US",87,25,"Virginia","Alexander Peartree","Chardonnay"
"367","US",85,32,"Virginia","Alexander Peartree","Merlot"
"368","US",87,20,"Virginia","Alexander Peartree","Chardonnay"
"369","US",87,17,"Virginia","Alexander Peartree","Chardonnay"
"376","US",84,29,"Virginia","Alexander Peartree","Chardonnay"
"377","US",88,38,"Virginia","Alexander Peartree","Chardonnay"
"382","US",82,25,"Virginia","Alexander Peartree","Chardonnay"
"383","US",82,15,"Virginia","Alexander Peartree","Rose"
"386","US",85,35,"Michigan","Alexander Peartree","Chardonnay"
"387","US",84,45,"Michigan","Alexander Peartree","Chardonnay"
"390","US",83,24,"Virginia","Alexander Peartree","Chardonnay"
"393","US",90,40,"Virginia","Alexander Peartree","Chardonnay"
"396","US",86,44,"Michigan","Alexander Peartree","Pinot Noir"
"400","US",86,35,"Colorado","Alexander Peartree","Syrah"
"404","US",86,29,"Colorado","Alexander Peartree","Chardonnay"
"408","US",89,35,"Michigan","Alexander Peartree","Merlot"
"410","US",88,16,"Virginia","Alexander Peartree","Chardonnay"
"413","US",87,100,"Michigan","Alexander Peartree","Syrah"
"415","US",87,28,"Virginia","Alexander Peartree","Chardonnay"
"13384","France",89,11,"Rhône Valley","Joe Czerwinski","Rose"
"13410","France",90,15,"Rhône Valley","Joe Czerwinski","Syrah"
"13424","France",87,15,"Provence","Joe Czerwinski","Rose"
"13425","France",86,15,"Provence","Joe Czerwinski","Rose"
"13437","France",90,126,"Rhône Valley","Joe Czerwinski","Syrah"
"13454","France",87,NA,"Provence","Joe Czerwinski","Rose"
"13456","France",90,23,"Rhône Valley","Joe Czerwinski","Rose"
"13468","France",89,20,"France Other","Joe Czerwinski","Syrah"
"13528","France",93,84,"Rhône Valley","Joe Czerwinski","Syrah"
"13529","France",93,130,"Rhône Valley","Joe Czerwinski","Syrah"
"13547","France",85,28,"Rhône Valley","Joe Czerwinski","Syrah"
"13566","France",91,57,"Rhône Valley","Joe Czerwinski","Syrah"
"13588","France",90,18,"Rhône Valley","Joe Czerwinski","Rose"
"13593","US",89,38,"Oregon","Joe Czerwinski","Pinot Noir"
"13594","US",88,50,"Oregon","Joe Czerwinski","Pinot Noir"
"13595","US",88,35,"Oregon","Joe Czerwinski","Pinot Noir"
"13596","France",89,25,"Provence","Joe Czerwinski","Rose"
"13600","France",89,13,"Rhône Valley","Joe Czerwinski","Rose"
"13601","France",89,15,"Provence","Joe Czerwinski","Rose"
"13655","France",91,40,"Rhône Valley","Joe Czerwinski","Syrah"
"13689","France",92,20,"Rhône Valley","Joe Czerwinski","Rose"
"13692","France",92,90,"Rhône Valley","Joe Czerwinski","Syrah"
"13693","France",92,60,"Rhône Valley","Joe Czerwinski","Syrah"
"13694","France",92,36,"Rhône Valley","Joe Czerwinski","Syrah"
"13707","France",88,NA,"Rhône Valley","Joe Czerwinski","Rose"
"13724","France",92,49,"Rhône Valley","Joe Czerwinski","Syrah"
"13730","France",87,80,"Provence","Joe Czerwinski","Rose"
"13758","France",88,56,"Rhône Valley","Joe Czerwinski","Syrah"
"13763","US",87,35,"California","Joe Czerwinski","Pinot Noir"
"13767","US",86,15,"California","Joe Czerwinski","Pinot Noir"
"13775","France",87,16,"Rhône Valley","Joe Czerwinski","Rose"
"13778","France",90,20,"Rhône Valley","Joe Czerwinski","Rose"
"13785","France",90,42,"Rhône Valley","Joe Czerwinski","Syrah"
"13790","France",81,9,"Bordeaux","Joe Czerwinski","Merlot"
"13796","France",95,120,"Rhône Valley","Joe Czerwinski","Syrah"
"13800","France",91,34,"Rhône Valley","Joe Czerwinski","Rose"
"13813","France",86,25,"Rhône Valley","Joe Czerwinski","Rose"
"13828","France",92,85,"Rhône Valley","Joe Czerwinski","Syrah"
"13867","France",94,49,"Rhône Valley","Joe Czerwinski","Syrah"
"13876","France",90,20,"Rhône Valley","Joe Czerwinski","Rose"
"13878","France",90,14,"Rhône Valley","Joe Czerwinski","Rose"
"13917","France",89,15,"Rhône Valley","Joe Czerwinski","Rose"
"13989","France",86,13,"France Other","Joe Czerwinski","Rose"
"14004","France",89,59,"Rhône Valley","Joe Czerwinski","Syrah"
"14031","France",86,13,"Provence","Joe Czerwinski","Rose"
"14032","France",86,20,"Provence","Joe Czerwinski","Rose"
"14049","France",89,12,"Rhône Valley","Joe Czerwinski","Rose"
"14053","France",89,14,"Rhône Valley","Joe Czerwinski","Rose"
"14054","France",88,NA,"Rhône Valley","Joe Czerwinski","Rose"
"14056","France",88,16,"Rhône Valley","Joe Czerwinski","Rose"
"14082","France",93,200,"Champagne","Joe Czerwinski","Chardonnay"
"14083","US",92,48,"Oregon","Joe Czerwinski","Pinot Noir"
"14084","US",91,49,"California","Joe Czerwinski","Pinot Noir"
"14085","US",91,48,"Oregon","Joe Czerwinski","Pinot Noir"
"14122","France",85,11,"France Other","Joe Czerwinski","Rose"
"14149","France",85,9,"Rhône Valley","Joe Czerwinski","Rose"
"14169","France",86,12,"Rhône Valley","Joe Czerwinski","Rose"
"14185","France",88,92,"Rhône Valley","Joe Czerwinski","Syrah"
"14205","France",88,56,"Rhône Valley","Joe Czerwinski","Syrah"
"14258","France",90,22,"Rhône Valley","Joe Czerwinski","Syrah"
"14283","France",92,88,"Rhône Valley","Joe Czerwinski","Syrah"
"14316","France",88,15,"Provence","Joe Czerwinski","Rose"
"14319","France",88,18,"Provence","Joe Czerwinski","Rose"
"14332","France",86,16,"Rhône Valley","Joe Czerwinski","Rose"
"14354","France",93,104,"Rhône Valley","Joe Czerwinski","Syrah"
"14356","France",93,108,"Rhône Valley","Joe Czerwinski","Syrah"
"14489","France",85,14,"Rhône Valley","Joe Czerwinski","Rose"
"14496","France",88,15,"Provence","Joe Czerwinski","Rose"
"14497","France",88,17,"Rhône Valley","Joe Czerwinski","Rose"
"14499","France",88,36,"Rhône Valley","Joe Czerwinski","Syrah"
"14517","France",85,13,"France Other","Joe Czerwinski","Rose"
"14534","France",86,34,"Rhône Valley","Joe Czerwinski","Syrah"
"14554","France",85,14,"Rhône Valley","Joe Czerwinski","Rose"
"14555","France",85,15,"Rhône Valley","Joe Czerwinski","Rose"
"14559","US",84,13,"New York","Joe Czerwinski","Chardonnay"
"14560","US",84,12,"New York","Joe Czerwinski","Chardonnay"
"14562","US",84,10,"New York","Joe Czerwinski","Chardonnay"
"14563","US",84,11,"New York","Joe Czerwinski","Rose"
"14564","US",84,35,"New York","Joe Czerwinski","Pinot Noir"
"14566","US",84,35,"New York","Joe Czerwinski","Pinot Noir"
"14571","US",84,9,"New York","Joe Czerwinski","Chardonnay"
"14572","US",84,12,"New York","Joe Czerwinski","Merlot"
"14597","France",90,37,"Rhône Valley","Joe Czerwinski","Syrah"
"14606","France",86,13,"Rhône Valley","Joe Czerwinski","Rose"
"14622","France",87,9,"Rhône Valley","Joe Czerwinski","Rose"
"14624","France",87,12,"Rhône Valley","Joe Czerwinski","Rose"
"14630","France",89,22,"Provence","Joe Czerwinski","Rose"
"14631","France",88,13,"Rhône Valley","Joe Czerwinski","Rose"
"14641","France",90,75,"Rhône Valley","Joe Czerwinski","Syrah"
"14643","France",85,15,"Rhône Valley","Joe Czerwinski","Rose"
"14645","France",85,21,"Provence","Joe Czerwinski","Rose"
"14649","France",86,12,"Rhône Valley","Joe Czerwinski","Rose"
"14650","France",86,12,"Rhône Valley","Joe Czerwinski","Rose"
"14668","France",88,NA,"Provence","Joe Czerwinski","Rose"
"14672","France",89,34,"Rhône Valley","Joe Czerwinski","Rose"
"14673","US",85,50,"Oregon","Joe Czerwinski","Pinot Noir"
"14675","France",87,16,"Rhône Valley","Joe Czerwinski","Rose"
"14695","France",90,14,"Rhône Valley","Joe Czerwinski","Rose"
"14696","France",90,24,"Rhône Valley","Joe Czerwinski","Rose"
"14765","France",88,13,"Provence","Joe Czerwinski","Rose"
"14767","France",87,18,"Provence","Joe Czerwinski","Syrah"
"14774","France",90,40,"Rhône Valley","Joe Czerwinski","Syrah"
"14775","France",90,37,"Rhône Valley","Joe Czerwinski","Syrah"
"14790","France",93,391,"Rhône Valley","Joe Czerwinski","Syrah"
"14811","France",90,130,"Rhône Valley","Joe Czerwinski","Syrah"
"14829","France",85,16,"Rhône Valley","Joe Czerwinski","Rose"
"14860","France",89,11,"Rhône Valley","Joe Czerwinski","Rose"
"14871","France",90,15,"Rhône Valley","Joe Czerwinski","Rose"
"14885","France",89,24,"Rhône Valley","Joe Czerwinski","Rose"
"14897","France",93,84,"Rhône Valley","Joe Czerwinski","Syrah"
"14898","France",93,108,"Rhône Valley","Joe Czerwinski","Syrah"
"14900","France",91,40,"Rhône Valley","Joe Czerwinski","Syrah"
"14903","France",90,23,"Rhône Valley","Joe Czerwinski","Syrah"
"14912","France",88,13,"Rhône Valley","Joe Czerwinski","Rose"
"14921","US",82,14,"New York","Joe Czerwinski","Chardonnay"
"14922","US",82,18,"New York","Joe Czerwinski","Merlot"
"14923","US",82,18,"New York","Joe Czerwinski","Merlot"
"14924","US",82,14,"New York","Joe Czerwinski","Chardonnay"
"14930","US",80,18,"New York","Joe Czerwinski","Chardonnay"
"14955","France",92,49,"Rhône Valley","Joe Czerwinski","Syrah"
"14958","France",92,138,"Rhône Valley","Joe Czerwinski","Syrah"
"14970","France",90,24,"Rhône Valley","Joe Czerwinski","Rose"
"14984","France",90,19,"Rhône Valley","Joe Czerwinski","Rose"
"14985","France",90,15,"Rhône Valley","Joe Czerwinski","Rose"
"14998","France",91,35,"Rhône Valley","Joe Czerwinski","Syrah"
"15000","France",91,105,"Rhône Valley","Joe Czerwinski","Syrah"
"15001","France",91,46,"Rhône Valley","Joe Czerwinski","Syrah"
"15003","France",91,85,"Rhône Valley","Joe Czerwinski","Syrah"
"15007","France",94,100,"Rhône Valley","Joe Czerwinski","Syrah"
"15008","France",94,140,"Rhône Valley","Joe Czerwinski","Syrah"
"15037","France",89,26,"Rhône Valley","Joe Czerwinski","Syrah"
"15049","France",84,NA,"Provence","Joe Czerwinski","Rose"
"15057","France",89,72,"Rhône Valley","Joe Czerwinski","Syrah"
"15058","France",89,88,"Rhône Valley","Joe Czerwinski","Syrah"
"15066","France",87,15,"Provence","Joe Czerwinski","Rose"
"15078","France",84,11,"Rhône Valley","Joe Czerwinski","Rose"
"15133","France",93,84,"Rhône Valley","Joe Czerwinski","Syrah"
"15134","France",93,50,"Rhône Valley","Joe Czerwinski","Syrah"
"15135","France",93,90,"Rhône Valley","Joe Czerwinski","Syrah"
"15155","France",91,26,"Rhône Valley","Joe Czerwinski","Rose"
"15176","France",89,96,"Rhône Valley","Joe Czerwinski","Syrah"
"15207","France",86,13,"France Other","Joe Czerwinski","Rose"
"15208","France",86,15,"Rhône Valley","Joe Czerwinski","Rose"
"15215","France",92,42,"Rhône Valley","Joe Czerwinski","Syrah"
"15230","US",86,30,"California","Joe Czerwinski","Chardonnay"
"15245","France",89,54,"Rhône Valley","Joe Czerwinski","Syrah"
"15267","France",89,58,"Rhône Valley","Joe Czerwinski","Syrah"
"15272","France",87,10,"France Other","Joe Czerwinski","Merlot"
"15283","France",90,39,"Rhône Valley","Joe Czerwinski","Syrah"
"15289","France",90,12,"France Other","Joe Czerwinski","Merlot"
"15314","France",83,15,"Rhône Valley","Joe Czerwinski","Rose"
"15406","France",90,20,"Rhône Valley","Joe Czerwinski","Rose"
"15408","France",90,20,"France Other","Joe Czerwinski","Syrah"
"15433","France",86,15,"Rhône Valley","Joe Czerwinski","Rose"
"15440","France",90,30,"Rhône Valley","Joe Czerwinski","Syrah"
"15441","France",90,120,"Rhône Valley","Joe Czerwinski","Syrah"
"15452","France",93,84,"Rhône Valley","Joe Czerwinski","Syrah"
"15453","France",93,130,"Rhône Valley","Joe Czerwinski","Syrah"
"15471","France",92,17,"Rhône Valley","Joe Czerwinski","Syrah"
"15484","France",91,85,"Rhône Valley","Joe Czerwinski","Syrah"
"15492","France",89,15,"Rhône Valley","Joe Czerwinski","Syrah"
"15508","US",91,35,"California","Joe Czerwinski","Pinot Noir"
"15509","US",89,18,"California","Joe Czerwinski","Pinot Noir"
"15515","France",86,10,"Rhône Valley","Joe Czerwinski","Rose"
"15517","France",84,24,"Rhône Valley","Joe Czerwinski","Rose"
"15546","France",90,25,"Rhône Valley","Joe Czerwinski","Rose"
"15556","France",87,12,"Rhône Valley","Joe Czerwinski","Rose"
"15563","France",88,50,"Rhône Valley","Joe Czerwinski","Syrah"
"15568","France",88,17,"France Other","Joe Czerwinski","Rose"
"15584","France",89,15,"Rhône Valley","Joe Czerwinski","Rose"
"15605","France",90,100,"Provence","Joe Czerwinski","Rose"
"15613","France",86,17,"Rhône Valley","Joe Czerwinski","Rose"
"15652","France",90,NA,"Provence","Joe Czerwinski","Rose"
"15653","France",90,15,"Provence","Joe Czerwinski","Rose"
"15654","France",90,20,"Provence","Joe Czerwinski","Rose"
"15655","France",90,42,"Provence","Joe Czerwinski","Rose"
"15661","France",87,13,"Rhône Valley","Joe Czerwinski","Rose"
"15680","France",86,20,"Provence","Joe Czerwinski","Rose"
"15698","France",91,37,"Rhône Valley","Joe Czerwinski","Syrah"
"15730","France",86,18,"Rhône Valley","Joe Czerwinski","Syrah"
"15741","France",88,13,"Rhône Valley","Joe Czerwinski","Rose"
"15742","France",88,16,"Rhône Valley","Joe Czerwinski","Rose"
"15761","France",84,13,"Rhône Valley","Joe Czerwinski","Rose"
"15770","France",83,16,"France Other","Joe Czerwinski","Chardonnay"
"15790","France",90,69,"Rhône Valley","Joe Czerwinski","Syrah"
"15800","France",83,12,"Provence","Joe Czerwinski","Rose"
"15808","France",91,20,"Rhône Valley","Joe Czerwinski","Rose"
"15810","France",91,15,"Rhône Valley","Joe Czerwinski","Rose"
"15819","France",86,10,"France Other","Joe Czerwinski","Rose"
"15825","France",91,12,"Rhône Valley","Joe Czerwinski","Rose"
"15832","US",91,33,"Pennsylvania","Joe Czerwinski","Chardonnay"
"15847","France",86,12,"France Other","Joe Czerwinski","Rose"
"15855","France",84,26,"Rhône Valley","Joe Czerwinski","Syrah"
"15872","France",86,NA,"Rhône Valley","Joe Czerwinski","Rose"
"15878","France",88,30,"Rhône Valley","Joe Czerwinski","Rose"
"15883","France",88,25,"Rhône Valley","Joe Czerwinski","Rose"
"15948","France",88,13,"Rhône Valley","Joe Czerwinski","Rose"
"15952","US",88,22,"California","Joe Czerwinski","Chardonnay"
"15965","France",90,26,"Rhône Valley","Joe Czerwinski","Rose"
"15978","France",84,9,"Provence","Joe Czerwinski","Rose"
"15979","France",84,20,"Provence","Joe Czerwinski","Rose"
"15997","France",90,42,"Rhône Valley","Joe Czerwinski","Syrah"
"16007","France",85,12,"Rhône Valley","Joe Czerwinski","Rose"
"16023","France",88,13,"Rhône Valley","Joe Czerwinski","Syrah"
"16032","France",88,11,"Rhône Valley","Joe Czerwinski","Rose"
"16033","France",88,26,"Rhône Valley","Joe Czerwinski","Syrah"
"16036","US",87,15,"Oregon","Joe Czerwinski","Pinot Noir"
"16037","US",87,20,"Oregon","Joe Czerwinski","Pinot Noir"
"16038","US",86,25,"Oregon","Joe Czerwinski","Pinot Noir"
"16044","France",89,10,"France Other","Joe Czerwinski","Rose"
"16069","France",88,20,"Provence","Joe Czerwinski","Rose"
"16070","France",88,NA,"Provence","Joe Czerwinski","Rose"
"16098","France",93,78,"Rhône Valley","Joe Czerwinski","Syrah"
"16123","France",89,15,"Rhône Valley","Joe Czerwinski","Rose"
"16141","France",91,50,"Rhône Valley","Joe Czerwinski","Syrah"
"16152","France",85,13,"Rhône Valley","Joe Czerwinski","Rose"
"16168","France",86,13,"Rhône Valley","Joe Czerwinski","Rose"
"16169","France",86,15,"Rhône Valley","Joe Czerwinski","Rose"
"16186","France",87,13,"Rhône Valley","Joe Czerwinski","Rose"
"16189","France",83,13,"France Other","Joe Czerwinski","Rose"
"16201","France",86,15,"Rhône Valley","Joe Czerwinski","Rose"
"16203","France",90,13,"Rhône Valley","Joe Czerwinski","Rose"
"16209","France",92,105,"Rhône Valley","Joe Czerwinski","Syrah"
"16238","France",91,60,"Rhône Valley","Joe Czerwinski","Syrah"
"16263","France",86,12,"Rhône Valley","Joe Czerwinski","Rose"
"16264","France",86,12,"Rhône Valley","Joe Czerwinski","Rose"
"16268","France",87,13,"Rhône Valley","Joe Czerwinski","Rose"
"16276","France",93,15,"Rhône Valley","Joe Czerwinski","Rose"
"16279","France",92,22,"Rhône Valley","Joe Czerwinski","Rose"
"16292","France",89,21,"France Other","Joe Czerwinski","Rose"
"16293","France",91,27,"Provence","Joe Czerwinski","Rose"
"16307","France",85,18,"Provence","Joe Czerwinski","Rose"
"16312","France",86,13,"Rhône Valley","Joe Czerwinski","Rose"
"16328","France",88,18,"Rhône Valley","Joe Czerwinski","Rose"
"16334","US",84,22,"California","Joe Czerwinski","Pinot Noir"
"16359","France",89,50,"Rhône Valley","Joe Czerwinski","Syrah"
"16378","France",89,26,"Rhône Valley","Joe Czerwinski","Syrah"
"16389","France",87,13,"Rhône Valley","Joe Czerwinski","Rose"
"16390","France",87,14,"Rhône Valley","Joe Czerwinski","Rose"
"16412","France",93,22,"Rhône Valley","Joe Czerwinski","Rose"
"16484","France",87,15,"Rhône Valley","Joe Czerwinski","Rose"
"16491","France",91,16,"Rhône Valley","Joe Czerwinski","Rose"
"16498","France",84,16,"Rhône Valley","Joe Czerwinski","Rose"
"16500","France",83,10,"Rhône Valley","Joe Czerwinski","Rose"
"16536","France",92,17,"Rhône Valley","Joe Czerwinski","Rose"
"16547","France",89,17,"Rhône Valley","Joe Czerwinski","Rose"
"16554","France",90,39,"Rhône Valley","Joe Czerwinski","Syrah"
"16566","France",85,17,"Rhône Valley","Joe Czerwinski","Rose"
"16567","France",85,11,"Rhône Valley","Joe Czerwinski","Rose"
"16601","France",88,12,"Rhône Valley","Joe Czerwinski","Rose"
"16619","France",91,20,"Rhône Valley","Joe Czerwinski","Rose"
"16633","France",91,108,"Rhône Valley","Joe Czerwinski","Syrah"
"16653","France",85,NA,"Provence","Joe Czerwinski","Rose"
"16676","France",86,10,"Rhône Valley","Joe Czerwinski","Rose"
"16712","France",89,28,"Provence","Joe Czerwinski","Rose"
"16713","France",89,NA,"Provence","Joe Czerwinski","Rose"
"16736","US",90,65,"Oregon","Joe Czerwinski","Pinot Noir"
"16737","US",90,48,"California","Joe Czerwinski","Pinot Noir"
"16738","US",90,39,"Oregon","Joe Czerwinski","Pinot Noir"
"16739","US",89,48,"Oregon","Joe Czerwinski","Pinot Noir"
"16740","US",89,25,"Oregon","Joe Czerwinski","Pinot Noir"
"16741","US",89,34,"Oregon","Joe Czerwinski","Pinot Noir"
"16742","France",90,25,"Rhône Valley","Joe Czerwinski","Rose"
"16745","France",90,20,"Rhône Valley","Joe Czerwinski","Syrah"
"16757","France",89,20,"Rhône Valley","Joe Czerwinski","Syrah"
"16761","France",89,110,"Rhône Valley","Joe Czerwinski","Syrah"
"16763","France",93,90,"Rhône Valley","Joe Czerwinski","Syrah"
"16775","France",89,32,"Rhône Valley","Joe Czerwinski","Syrah"
"16798","US",87,9,"New York","Joe Czerwinski","Chardonnay"
"16805","France",90,28,"Rhône Valley","Joe Czerwinski","Syrah"
"16848","France",84,13,"Rhône Valley","Joe Czerwinski","Rose"
"16850","France",84,NA,"Rhône Valley","Joe Czerwinski","Rose"
"16857","France",87,10,"France Other","Joe Czerwinski","Rose"
"16927","France",89,21,"Rhône Valley","Joe Czerwinski","Syrah"
"16929","France",89,110,"Rhône Valley","Joe Czerwinski","Syrah"
"16936","France",89,57,"Rhône Valley","Joe Czerwinski","Syrah"
"16938","France",92,120,"Rhône Valley","Joe Czerwinski","Syrah"
"16939","France",92,85,"Rhône Valley","Joe Czerwinski","Syrah"
"16955","France",88,14,"Rhône Valley","Joe Czerwinski","Rose"
"16956","France",88,17,"Rhône Valley","Joe Czerwinski","Rose"
"16983","France",92,150,"Rhône Valley","Joe Czerwinski","Syrah"
"16985","France",86,10,"Rhône Valley","Joe Czerwinski","Rose"
